,OCCASION,SIZE,Type,Theme,Icing,Flavour,Colour,Topping,PRICE,Collection Date,Cost,YEAR CELEBRATING,Total Flavours,Month,Cost Range
0,Birthday ,15cm,Square,Princess,Fondant,vanilla,Pink,Baby Elephant,200.0,2023-01-26,103.0, 1,1,January,0-150
1,Birthday ,15cm,Round,None,Fondant,chocolate,Nude,Happy Birthday,200.0,2023-08-31,118.0, 1,1,August,0-150
2,Birthday ,15cm,Round,Princess,Fondant,chocolate,Pink,Happy 1st Birthday,200.0,2023-09-17,118.0, 1,1,September,0-150
3,Birthday ,15cm,Round,Princess,Fondant,lemon,Pink,Happy 1st Birthday,200.0,2023-09-30,142.0, 1,1,September,0-150
4,Birthday ,2step,1 Square 1 Round,None,Fondant,chocolate,Blue,One,600.0,2023-03-15,450.0, 1,1,March,300-450
5,Birthday ,20cm,Round,None,Naked,chocolate,Blue,Piglet,250.0,2023-03-20,199.0, 1,1,March,150-300
6,Birthday ,20cm,Round,Mickey Mouse,Fondant,red-velvet,Red,Mickey Mouse,250.0,2023-03-03,166.0, 1,1,March,150-300
7,Birthday ,20cm,Square,None,Fondant,vanilla,Pink,One,250.0,2023-04-16,151.0, 1,1,April,150-300
8,Birthday ,20cm,Square,Sofia,Fondant,chocolate,Purple,One,250.0,2023-05-05,158.0, 1,1,May,150-300
9,Birthday ,20cm,Round,Princess,Fondant,red-velvet,Pink,Happy 1st Birthday,250.0,2023-09-02,170.0, 1,1,September,150-300
10,Birthday ,20cm,character,Princess,Fondant,chocolate,Pink,Rainbow,250.0,2023-09-11,175.0, 1,1,September,150-300
11,Birthday ,20cm,Round,Sofia,Fondant,chocolate,Purple,Happy 1st Birthday,250.0,2023-10-05,198.0, 1,1,October,150-300
12,Birthday ,25cm,character,Mickey Mouse,Fondant,chocolate,Red,Mickey Mouse,300.0,2023-06-25,206.0, 1,1,June,150-300
13,Birthday ,25cm,character,Sofia,Fondant,vanilla,Purple,One,300.0,2023-09-11,242.0, 1,1,September,150-300
14,Birthday ,25cm,character,None,Fondant,vanilla,Blue,One,300.0,2023-12-28,183.0, 1,1,December,150-300
15,Birthday ,30cm,Round,Spiderman,Fondant,vanilla,Blue,Happy 1st Birthday,350.0,2023-03-29,226.0, 1,1,March,150-300
16,Birthday ,30cm,Square,None,Fondant,chocolate,Yellow,One,350.0,2023-08-02,245.0, 1,1,August,150-300
17,Birthday ,30cm,Round,Sofia,Fondant,chocolate,Purple,Happy 1st Birthday,350.0,2023-11-16,263.0, 1,1,November,150-300
18,Baby Shower,20cm,Round,Drip Cake,Naked,chocolate,Pink,Baby Shoes,250.0,2023-07-22,161.0,,1,July,150-300
19,Baby Shower,20cm,character,Drip Cake,Fondant,lemon,Blue,Tummy,250.0,2023-12-16,164.0,,1,December,150-300
20,Baby Shower,25cm,Round,None,Naked,carrot,Nude,Tummy,300.0,2023-07-30,234.0,,1,July,150-300
21,Baby Shower,25cm,Round,None,Naked,chocolate,Blue,Oh Baby,300.0,2023-08-12,216.0,,1,August,150-300
22,Baby Shower,25cm,Square,Drip Cake,Fondant,carrot,Pink,Baby Feet,300.0,2023-08-26,241.0,,1,August,150-300
23,Baby Shower,25cm,Round,Drip Cake,Fondant,chocolate,Blue,Oh Baby,300.0,2023-12-08,217.0,,1,December,150-300
24,Baby Shower,30cm,character,Drip Cake,Fondant,carrot,Pink,Oh Baby,350.0,2023-07-29,270.0,,1,July,150-300
